team,season,clean_sheet
Fulham,2011-2012,11
Chelsea,2011-2012,10
West Bromwich Albion,2011-2012,10
Stoke City,2011-2012,9
Aston Villa,2011-2012,9
Wigan Athletic,2011-2012,8
Queens Park Rangers,2011-2012,7
Wolverhampton Wanderers,2011-2012,4
Bolton Wanderers,2011-2012,3
Blackburn Rovers,2011-2012,3
Norwich City,2011-2012,3
Manchester City,2012-2013,18
Liverpool,2012-2013,16
Chelsea,2012-2013,14
Arsenal,2012-2013,14
Manchester United,2012-2013,13
Stoke City,2012-2013,12
Everton,2012-2013,11
West Ham United,2012-2013,11
Sunderland,2012-2013,11
Swansea City,2012-2013,10
Norwich City,2012-2013,10
Tottenham Hotspur,2012-2013,9
West Bromwich Albion,2012-2013,8
Fulham,2012-2013,8
Queens Park Rangers,2012-2013,7
Southampton,2012-2013,7
Newcastle United,2012-2013,6
Reading,2012-2013,5
Aston Villa,2012-2013,5
Wigan Athletic,2012-2013,5
Chelsea,2013-2014,18
Arsenal,2013-2014,17
Manchester City,2013-2014,16
Southampton,2013-2014,15
Everton,2013-2014,15
West Ham United,2013-2014,14
Tottenham Hotspur,2013-2014,14
Manchester United,2013-2014,13
Crystal Palace,2013-2014,12
Norwich City,2013-2014,12
Sunderland,2013-2014,11
Newcastle United,2013-2014,10
Liverpool,2013-2014,10
Hull City,2013-2014,10
Aston Villa,2013-2014,9
Stoke City,2013-2014,9
Swansea City,2013-2014,8
Cardiff City,2013-2014,7
West Bromwich Albion,2013-2014,7
Fulham,2013-2014,5
Chelsea,2014-2015,17
West Bromwich Albion,2014-2015,16
Southampton,2014-2015,15
Manchester City,2014-2015,14
Liverpool,2014-2015,14
Arsenal,2014-2015,13
Swansea City,2014-2015,13
Sunderland,2014-2015,13
Manchester United,2014-2015,11
Everton,2014-2015,10
Leicester City,2014-2015,10
Aston Villa,2014-2015,10
Hull City,2014-2015,10
Burnley,2014-2015,10
Stoke City,2014-2015,9
Tottenham Hotspur,2014-2015,9
West Ham United,2014-2015,9
Newcastle United,2014-2015,8
Crystal Palace,2014-2015,7
Queens Park Rangers,2014-2015,6
Arsenal,2015-2016,18
Manchester United,2015-2016,18
Manchester City,2015-2016,16
Leicester City,2015-2016,15
Tottenham Hotspur,2015-2016,13
Southampton,2015-2016,12
West Bromwich Albion,2015-2016,11
Liverpool,2015-2016,11
West Ham United,2015-2016,11
Watford,2015-2016,11
Stoke City,2015-2016,10
Everton,2015-2016,10
Swansea City,2015-2016,9
Chelsea,2015-2016,9
Crystal Palace,2015-2016,8
Newcastle United,2015-2016,8
Sunderland,2015-2016,7
AFC Bournemouth,2015-2016,7
Aston Villa,2015-2016,6
Norwich City,2015-2016,5
Tottenham Hotspur,2016-2017,17
Manchester United,2016-2017,17
Chelsea,2016-2017,16
Southampton,2016-2017,14
Arsenal,2016-2017,13
Everton,2016-2017,13
Manchester City,2016-2017,12
Liverpool,2016-2017,12
Middlesbrough,2016-2017,11
Stoke City,2016-2017,11
West Ham United,2016-2017,10
Burnley,2016-2017,10
AFC Bournemouth,2016-2017,10
Leicester City,2016-2017,9
Swansea City,2016-2017,8
Crystal Palace,2016-2017,7
Watford,2016-2017,7
West Bromwich Albion,2016-2017,6
Sunderland,2016-2017,6
Hull City,2016-2017,5
Manchester United,2017-2018,19
Manchester City,2017-2018,18
Liverpool,2017-2018,17
Tottenham Hotspur,2017-2018,16
Chelsea,2017-2018,16
Arsenal,2017-2018,13
Burnley,2017-2018,12
West Bromwich Albion,2017-2018,10
Everton,2017-2018,10
West Ham United,2017-2018,10
Brighton and Hove Albion,2017-2018,10
Huddersfield Town,2017-2018,10
Crystal Palace,2017-2018,9
Watford,2017-2018,9
Leicester City,2017-2018,9
Newcastle United,2017-2018,9
Swansea City,2017-2018,9
Southampton,2017-2018,8
Stoke City,2017-2018,6
AFC Bournemouth,2017-2018,6
